Date/Time,ABF:Zone Mean Air Temperature [C](Hourly),ANTEROOM:Zone Mean Air Temperature [C](Hourly),FREEZER1:Zone Mean Air Temperature [C](Hourly),FREEZER2:Zone Mean Air Temperature [C](Hourly),FREEZER3:Zone Mean Air Temperature [C](Hourly),FREEZER4:Zone Mean Air Temperature [C](Hourly),GUDANG:Zone Mean Air Temperature [C](Hourly),ABF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ANTEROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly) 
 10/16  17:00:00,-39.99999999999999,4.000000000000001,-18.0,-18.0,-18.0,-18.000000000000004,15.688213515706863,43236718.50139967,52072555.46033649,30743183.661728956,31015696.3260185,30199457.051665142,30481426.18674639 
 10/16  18:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.0,-18.0,15.77242578609406,13338961.071937669,1692811.9924949405,30580176.47563528,30853250.86077941,30026769.79607024,30308956.342146017 
 10/16  19:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.790885115477169,13215463.724678773,1161257.4826935257,30411261.69454093,30683122.95670876,29848184.635148298,30128754.403353788 
 10/16  20:00:00,-40.0,4.0,-18.0,-18.000000000000004,-18.0,-18.0,15.741120442852058,13113441.684785455,942059.3408331173,30223120.431079086,30490934.62607032,29648236.286949236,29924305.842774466 
 10/16  21:00:00,-40.0,4.0,-18.0,-18.0,-18.000000000000004,-18.0,15.648027300320384,13011081.576039653,813455.4121121113,30099270.732848752,30361928.678322554,29513440.158634957,29783930.514182705 
 10/16  22:00:00,-40.0,4.0,-18.0,-17.999999999999996,-18.0,-18.0,15.543622060920375,12928891.277903397,729527.2536866498,30044927.4192745,30303118.423412673,29450574.06817714,29716259.2164867 
 10/16  23:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.446421611446775,12868758.808630409,669400.6477461342,30006849.878407814,30261642.60486553,29406385.668940928,29668424.2675458 
 10/16  24:00:00,-39.99999999999999,4.0,-18.0,-18.0,-18.0,-18.0,15.360209292278874,12825476.961340204,622445.5749887179,29970674.939387843,30222945.5282045,29365951.194580838,29625287.957801517 
 10/17  01:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.2833949236994,12793202.863452783,586847.9953797146,29913342.832875285,30163764.76693563,29305459.328440987,29562811.776987437 
 10/17  02:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.000000000000004,15.213085408981817,12767551.074251732,559268.9312565676,29868239.49988016,30117295.595003437,29257774.14559059,29513650.624515384 
 10/17  03:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.148475234526813,12748211.925129762,535796.991238211,29850942.840749364,30099012.65834802,29238573.484546352,29493380.740371086 
 10/17  04:00:00,-40.0,4.0,-18.0,-18.0,-18.000000000000004,-18.0,15.089540439247829,12733859.956020571,516715.5985637142,29840767.78211697,30088119.36198594,29227053.782860223,29481080.170617767 
 10/17  05:00:00,-40.0,4.0,-18.0,-18.000000000000004,-17.999999999999996,-18.0,15.035486082870428,12722965.902819814,499119.3211543106,29809915.500097923,30056703.268501572,29195226.462585177,29448641.081129663 
 10/17  06:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-17.999999999999996,14.985407931390435,12713959.277389027,485369.1724610422,29787378.736306068,30033663.316348348,29171873.304165635,29424743.693557758 
 10/17  07:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.937975936500102,12705629.819656432,495625.4220487089,29782281.278399184,30028173.241631962,29166341.08694192,29418794.422020562 
 10/17  08:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.896610830893115,42166751.425573066,45329149.99380402,29784221.461288933,30030970.397534657,29174027.92310959,29427564.04218211 
 10/17  09:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.878404718182503,42450187.99305212,49795616.250959635,29974772.499532215,30225318.743869606,29387433.059807718,29645592.637130287 
 10/17  10:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.902912183263352,42754492.42019062,51266348.09372842,30318107.843165647,30574711.51023337,29769610.79303877,30035147.392872892 
 10/17  11:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.97720803850389,43087347.23794631,52759146.01456563,30690066.28812053,30952212.796322957,30178728.397784166,30451062.989188556 
 10/17  12:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.089369500253566,43351174.204862736,53898263.970979646,30988911.895417225,31254383.838868015,30498579.65181821,30774969.164246902 
